Drama,Time,korean food,learn Korean,Kpop,Korea travel,Premiere Date
Goblin,11/2/16,5,1,54,1,2-Dec-16
Goblin,11/3/16,6,1,54,1,2-Dec-16
Goblin,11/4/16,5,1,56,1,2-Dec-16
Goblin,11/5/16,7,1,64,2,2-Dec-16
Goblin,11/6/16,8,2,62,1,2-Dec-16
Goblin,11/7/16,5,1,52,1,2-Dec-16
Goblin,11/8/16,5,1,51,1,2-Dec-16
Goblin,11/9/16,4,1,46,1,2-Dec-16
Goblin,11/10/16,5,1,54,1,2-Dec-16
Goblin,11/11/16,6,2,63,1,2-Dec-16
Goblin,11/12/16,7,1,63,1,2-Dec-16
Goblin,11/13/16,6,1,65,2,2-Dec-16
Goblin,11/14/16,5,1,55,2,2-Dec-16
Goblin,11/15/16,5,1,55,2,2-Dec-16
Goblin,11/16/16,5,2,53,1,2-Dec-16
Goblin,11/17/16,5,1,48,1,2-Dec-16
Goblin,11/18/16,6,1,54,1,2-Dec-16
Goblin,11/19/16,6,1,64,1,2-Dec-16
Goblin,11/20/16,6,2,66,2,2-Dec-16
Goblin,11/21/16,5,1,61,1,2-Dec-16
Goblin,11/22/16,5,1,56,1,2-Dec-16
Goblin,11/23/16,5,1,56,1,2-Dec-16
Goblin,11/24/16,5,1,54,1,2-Dec-16
Goblin,11/25/16,5,1,59,1,2-Dec-16
Goblin,11/26/16,6,1,68,1,2-Dec-16
Goblin,11/27/16,6,2,72,1,2-Dec-16
Goblin,11/28/16,5,1,56,1,2-Dec-16
Goblin,11/29/16,5,1,54,1,2-Dec-16
Goblin,11/30/16,6,2,60,1,2-Dec-16
Goblin,12/1/16,6,1,56,1,2-Dec-16
Goblin,12/2/16,5,1,66,1,2-Dec-16
Goblin,12/3/16,7,1,68,1,2-Dec-16
Goblin,12/4/16,6,1,75,1,2-Dec-16
Goblin,12/5/16,5,2,60,1,2-Dec-16
Goblin,12/6/16,5,2,73,1,2-Dec-16
Goblin,12/7/16,5,1,59,1,2-Dec-16
Goblin,12/8/16,5,2,61,1,2-Dec-16
Goblin,12/9/16,5,2,58,1,2-Dec-16
Goblin,12/10/16,6,2,69,1,2-Dec-16
Goblin,12/11/16,6,2,77,1,2-Dec-16
Goblin,12/12/16,6,1,63,1,2-Dec-16
Goblin,12/13/16,5,1,65,1,2-Dec-16
Goblin,12/14/16,5,2,63,1,2-Dec-16
